Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Day_of_Week,Location,Speed_limit,Light_Conditions,Weather_Conditions,Urban_or_Rural_Area
50,3,1,1,7,596,60,6,5,2
46,3,2,3,1,544,30,1,1,1
93,3,2,2,1,912,30,1,1,1
43,3,3,1,1,472,40,1,1,2
6,3,1,1,1,114,30,1,1,1
1,3,4,2,1,31,30,1,1,1
41,3,1,1,1,434,30,1,1,1
12,3,1,1,1,189,30,4,1,1
31,3,2,1,1,346,30,4,1,1
20,3,2,1,1,300,30,4,1,1
91,3,1,1,2,927,60,1,1,2
1,3,1,1,2,25,30,1,2,1
1,3,2,1,2,8,30,1,2,1
6,3,2,1,2,102,30,1,1,1
1,3,1,2,2,3,30,1,1,1
46,3,1,1,2,535,30,1,1,1
1,3,2,1,2,31,30,1,1,1
21,3,2,1,2,252,30,1,1,1
31,3,2,3,2,341,30,1,1,2
1,3,2,1,2,20,30,4,1,1
21,3,2,2,2,251,70,6,1,1
97,3,1,1,3,928,70,7,1,2
50,2,2,1,3,580,60,1,1,2
5,3,2,1,3,95,30,1,1,1
22,3,2,2,3,286,30,1,1,2
50,3,2,2,3,596,60,1,1,2
4,3,2,4,3,83,60,1,1,2
1,3,1,1,3,1,30,1,1,1
32,3,1,1,3,352,30,1,1,1
16,3,3,1,3,232,30,1,1,1
97,2,1,1,3,926,30,1,1,1
35,3,4,1,3,394,30,1,1,1
31,3,2,1,3,345,60,4,1,2
46,3,1,1,3,535,40,4,1,1
3,3,1,1,3,65,50,6,1,2
1,3,1,1,4,7,30,1,1,1
4,3,2,1,4,70,40,1,1,2
16,3,2,1,4,232,70,1,1,2
44,3,2,1,4,490,50,1,1,2
46,3,2,1,4,539,60,1,1,2
33,3,1,2,4,364,30,1,1,1
30,3,2,2,4,327,60,1,1,2
50,3,2,1,4,587,30,1,1,1
46,3,2,1,4,544,50,1,9,1
44,2,1,1,4,492,30,1,1,1
1,3,2,1,4,19,30,1,1,1
92,3,1,1,4,910,40,6,1,2
60,2,2,1,4,720,40,6,1,2
43,3,2,1,4,482,30,4,1,1
1,3,1,1,4,12,30,4,1,1
7,2,1,1,5,130,30,4,9,2
52,3,2,1,5,612,40,1,1,2
46,3,1,1,5,544,30,1,1,1
52,3,1,1,5,601,20,1,1,1
97,3,2,1,5,916,30,1,1,1
4,3,2,1,5,70,30,1,1,1
1,3,1,1,5,3,30,1,1,1
62,3,1,2,5,746,30,1,1,1
31,2,4,1,5,345,50,1,1,2
23,3,1,1,5,292,50,1,1,2
1,3,2,1,5,25,30,1,1,1
43,3,2,1,5,484,30,1,1,2
40,3,2,2,5,420,60,4,1,2
54,2,1,1,5,635,60,6,1,2
1,3,2,1,5,2,30,4,1,1
62,3,3,1,6,741,70,1,1,2
10,3,2,2,6,150,50,1,1,2
50,3,2,1,6,585,30,1,1,1
16,3,2,1,6,232,60,1,1,2
21,3,6,1,6,254,70,1,1,2
50,3,1,1,6,596,30,1,4,1
13,2,1,1,6,200,30,1,1,1
34,3,1,1,6,384,30,1,1,1
1,3,1,1,6,16,30,1,1,1
54,3,1,1,6,635,70,6,1,2
20,3,2,1,6,307,30,4,1,1
7,2,2,1,6,129,30,5,1,2
5,2,1,1,6,91,20,4,1,1
20,3,2,3,7,307,30,4,1,2
14,3,4,2,7,215,70,1,1,1
41,3,2,1,7,437,30,1,1,1
1,3,2,4,7,5,30,1,1,1
97,3,2,1,7,926,40,1,1,1
1,3,2,1,7,9,30,4,1,1
42,2,4,1,7,460,30,4,1,1
1,3,2,1,7,10,30,4,1,1
45,3,1,2,1,515,30,4,1,1
1,3,1,1,1,1,30,4,1,1
20,3,2,2,1,300,30,1,1,1
55,2,2,1,1,641,30,1,1,1
44,3,1,1,1,496,30,1,1,2
13,2,2,1,1,204,30,1,1,1
31,3,1,1,1,346,20,4,1,1
5,3,2,4,1,91,30,4,1,1
34,3,3,3,1,383,60,6,1,2
97,2,1,1,2,932,40,4,1,2
35,3,2,1,2,390,20,1,1,1
41,3,2,1,2,436,30,1,1,1
6,3,2,1,2,109,30,1,1,1
22,3,1,1,2,286,60,1,1,2
42,2,1,1,2,456,30,1,1,2
32,3,2,1,2,351,30,1,1,1
33,3,3,1,2,365,30,1,1,1
55,3,1,2,2,645,30,1,1,1
1,3,1,1,2,5,30,4,1,1
63,3,2,1,2,751,60,7,2,2
20,3,2,2,2,306,60,4,1,2
16,2,3,1,2,232,30,4,1,2
44,3,1,1,3,497,60,4,1,2
10,3,2,1,3,146,30,1,2,1
31,3,2,1,3,346,30,1,1,1
31,3,1,1,3,346,30,1,1,1
14,3,1,1,3,215,50,1,2,2
20,3,2,1,3,300,40,1,1,1
97,3,3,1,3,937,30,1,1,1
16,3,2,1,3,232,50,1,1,2
17,3,1,1,3,245,30,1,1,1
41,3,2,2,3,436,60,1,1,2
42,3,2,1,3,461,30,4,1,1
1,3,2,1,3,9,30,4,1,1
37,3,2,1,3,413,30,4,1,1
31,3,2,1,3,346,30,4,1,1
22,3,1,1,4,273,30,7,1,2
1,3,1,1,4,8,20,1,2,1
23,3,2,1,4,294,30,1,1,1
1,3,1,1,4,32,30,1,1,1
45,3,2,2,4,518,30,1,2,2
32,3,2,1,4,354,30,1,1,1
1,3,1,1,4,31,20,1,1,1
47,3,2,2,4,555,60,1,2,2
35,1,3,3,4,391,60,1,5,2
22,3,2,1,4,277,30,1,1,2
6,3,2,1,4,112,30,1,2,1
40,3,2,1,4,421,30,1,1,1
45,3,3,3,4,515,50,1,1,2
23,3,2,1,4,293,70,4,4,2
7,3,2,2,4,130,30,4,5,1
20,3,3,1,4,309,40,4,5,1
43,3,1,1,5,483,60,1,1,2
30,3,2,1,5,324,30,1,1,1
10,3,2,1,5,148,60,1,1,2
45,3,2,1,5,511,30,1,4,1
43,3,1,1,5,474,30,1,1,2
33,3,2,3,5,361,30,1,1,1
30,3,1,1,5,324,70,1,1,2
46,2,1,2,5,539,30,1,1,1
50,3,1,1,5,596,30,7,9,1
20,3,2,3,5,309,30,1,1,1
32,3,3,2,5,353,60,1,1,2
45,3,1,1,5,40,30,1,1,1
43,3,1,1,5,476,30,5,1,1
20,3,2,1,5,305,30,4,2,1
30,3,1,1,5,324,30,4,2,1
7,3,1,2,5,130,70,4,6,1
31,2,2,1,6,347,60,1,1,2
35,3,2,1,6,394,70,1,1,1
30,2,2,1,6,323,40,1,1,1
1,3,2,1,6,16,50,1,1,1
6,2,2,1,6,100,30,1,3,1
32,3,2,2,6,351,30,1,1,2
1,3,1,1,6,2,20,1,1,1
44,3,1,1,6,505,30,1,1,1
1,3,2,1,6,25,30,1,1,1
43,3,2,1,6,473,30,1,1,1
45,3,2,1,6,518,30,1,1,1
41,3,1,1,6,438,70,4,1,2
48,3,1,1,6,570,20,4,1,1
42,2,2,1,6,453,30,4,1,1
7,3,3,1,6,129,60,6,1,2
44,2,2,3,6,497,40,6,1,2
44,3,1,1,7,496,30,4,1,1
42,2,3,1,7,458,60,1,1,2
32,2,2,3,7,353,60,1,1,2
11,3,1,1,7,161,30,1,1,1
36,3,1,1,7,407,30,1,9,2
55,3,2,1,7,642,60,1,4,2
7,3,3,2,7,130,60,1,1,2
1,3,1,1,7,10,30,1,1,1
47,2,1,1,7,551,30,4,1,1
1,3,1,1,7,30,30,4,1,1
10,3,1,1,7,150,60,6,2,2
1,3,2,1,1,32,30,4,1,1
47,3,1,1,1,558,30,7,1,1
1,3,2,1,1,29,30,1,9,1
46,3,2,1,1,531,30,1,1,1
1,3,3,1,1,13,30,1,1,1
31,2,2,1,1,344,30,1,1,1
1,3,2,1,1,28,30,1,1,1
23,2,1,1,1,291,50,1,1,1
34,3,1,1,1,385,70,4,1,2
52,3,2,3,1,610,30,4,1,1
20,2,2,1,2,303,40,4,9,1
35,3,2,1,2,395,30,1,1,2
6,3,1,1,2,109,30,1,1,1
50,3,1,1,2,584,30,1,1,2
97,3,2,1,2,932,30,1,1,2
62,3,3,1,2,740,30,1,1,1
95,3,1,1,2,914,60,1,1,2
52,3,3,1,2,605,50,1,1,2
14,3,4,3,2,215,30,1,1,1
1,3,2,5,2,32,30,1,1,1
13,3,2,1,2,204,60,1,9,2
93,3,1,1,2,918,30,1,1,1
63,2,2,3,2,753,60,1,1,2
32,3,2,1,2,353,40,4,9,1
21,3,2,1,2,254,30,4,1,2
6,2,3,1,2,109,30,4,1,1
1,2,1,1,3,4,30,4,1,1
44,2,1,1,3,490,30,1,1,1
32,3,2,1,3,352,30,1,1,1
92,3,2,1,3,911,60,1,1,2
44,3,2,1,3,493,30,1,1,1
1,2,2,1,3,3,30,1,1,1
46,3,1,1,3,544,30,1,1,1
12,3,1,1,3,186,30,1,1,1
48,3,2,1,3,570,20,1,1,1
7,2,3,1,3,130,50,4,1,2
97,3,1,1,3,935,30,4,2,1
42,3,2,1,3,461,30,6,1,2
45,3,1,1,4,513,60,1,2,2
46,3,2,1,4,532,70,4,2,2
97,3,2,2,4,926,30,1,1,1
55,3,2,1,4,640,30,1,5,1
42,2,4,1,4,463,70,1,2,2
10,3,2,1,4,139,30,1,2,1
13,3,1,1,4,200,30,1,1,1
22,3,2,1,4,286,30,1,2,1
31,3,3,1,4,343,30,1,1,1
47,3,2,3,4,562,60,1,1,2
1,3,3,1,4,11,30,4,1,1
45,2,2,1,4,40,30,4,2,1
97,3,3,1,4,928,30,4,1,1
23,3,2,1,5,293,30,1,1,1
62,3,2,1,5,745,30,1,1,2
4,3,2,1,5,73,20,1,1,1
45,3,1,1,5,515,40,1,1,2
44,3,2,3,5,490,70,1,1,2
62,3,2,1,5,743,30,1,1,2
1,3,1,1,5,30,30,1,1,1
12,3,5,1,5,181,30,1,1,1
43,3,1,1,5,476,60,1,1,2
4,3,3,1,5,82,30,1,1,2
41,3,2,2,5,33,30,4,1,1
13,3,2,1,5,200,30,4,1,1
42,3,3,1,5,452,70,4,1,2
13,2,2,1,5,204,30,1,1,1
52,3,2,1,6,610,20,1,1,2
95,3,2,2,6,940,50,1,1,2
53,3,2,1,6,620,30,1,1,1
60,3,2,1,6,721,30,1,1,2
42,3,2,1,6,456,30,1,1,2
60,2,1,1,6,721,60,1,1,2
47,3,2,2,6,555,30,1,1,2
45,3,3,1,6,511,70,1,1,2
1,3,2,1,6,17,30,1,1,1
43,3,2,1,6,470,30,1,1,2
47,3,2,1,6,565,20,1,1,1
52,3,2,1,6,601,20,7,1,1
1,3,2,1,6,1,30,4,1,1
93,3,1,1,6,912,60,6,2,2
16,2,1,1,7,232,30,4,1,2
47,3,2,1,7,559,20,1,1,1
62,3,2,1,7,740,30,1,1,1
54,3,3,5,7,635,50,1,1,2
10,3,4,2,7,149,30,1,1,1
13,3,1,1,7,200,30,1,1,1
31,3,1,1,7,343,30,1,1,1
1,3,2,1,7,1,30,1,1,1
52,3,1,1,7,610,20,1,1,1
60,3,2,1,7,720,60,6,1,2
20,3,2,1,7,309,30,1,1,1
62,3,2,2,1,741,30,4,1,1
16,2,1,1,1,228,40,4,1,1
7,3,2,2,1,129,50,1,1,2
3,2,1,1,1,60,60,1,1,2
1,3,2,1,1,1,30,1,1,1
47,3,2,3,1,556,60,1,1,2
50,3,2,3,1,581,30,1,1,1
55,2,2,1,1,643,20,1,1,1
45,3,1,2,1,515,50,1,1,2
36,3,2,1,1,402,30,1,9,1
50,3,2,1,1,581,30,4,1,1
44,3,1,1,1,501,40,6,1,1
1,3,2,1,2,18,50,1,1,2
20,3,2,1,2,302,30,1,1,1
14,3,1,1,2,213,30,1,1,1
1,2,1,1,2,2,30,1,1,1
35,3,3,1,2,392,60,1,1,2
14,2,1,1,2,211,30,1,1,1
1,3,2,1,2,8,30,1,1,1
45,2,2,1,2,516,30,1,1,2
40,3,2,1,2,424,60,1,1,1
4,2,2,1,2,77,30,1,1,1
22,3,2,1,2,284,40,1,1,2
20,2,1,1,2,300,30,1,1,2
1,3,2,2,2,31,30,4,1,1
50,3,1,2,2,589,30,6,4,2
12,3,2,1,3,180,70,1,1,2
63,3,2,1,3,751,30,1,1,1
31,3,2,1,3,346,30,1,9,1
1,3,2,2,3,19,30,1,1,1
47,3,2,1,3,559,30,1,1,1
7,3,1,1,3,124,30,1,1,1
95,2,2,1,3,923,30,1,1,1
1,3,1,3,3,6,30,1,1,1
31,3,2,2,3,341,60,1,1,2
42,3,2,1,3,456,40,6,1,2
1,3,2,1,3,25,40,4,4,1
60,1,1,1,3,724,40,6,1,2
43,3,1,1,4,479,30,1,1,2
62,3,1,1,4,744,30,1,2,2
52,3,2,1,4,601,30,1,1,1
95,3,1,1,4,921,60,1,2,2
36,3,3,2,4,407,60,1,1,2
6,3,2,1,4,110,20,1,1,1
7,2,2,1,4,128,40,1,1,2
20,3,4,3,4,307,30,1,1,2
44,3,2,3,4,505,30,1,1,2
47,3,1,1,4,552,30,1,1,1
14,2,2,1,4,215,30,1,1,1
32,3,1,3,4,353,60,6,1,2
14,3,2,1,5,215,30,1,1,1
1,3,2,1,5,23,30,1,1,1
46,3,1,1,5,533,30,1,1,2
1,3,2,1,5,13,30,1,1,1
7,3,5,2,5,130,40,1,1,1
46,3,2,5,5,544,40,1,2,2
1,3,2,1,5,20,30,1,1,1
16,3,1,1,5,231,50,1,1,2
40,3,2,1,5,424,30,1,2,1
6,2,3,1,5,112,30,1,1,1
40,3,2,1,5,421,40,4,1,1
1,3,1,1,5,12,30,4,1,1
1,3,4,1,5,13,30,4,1,1
6,2,1,1,6,102,30,1,1,1
22,3,3,1,6,284,30,1,1,1
41,3,2,2,6,33,60,1,1,2
97,3,4,1,6,926,50,1,1,1
10,3,2,1,6,149,40,1,1,1
1,2,1,1,6,1,30,1,1,1
1,3,1,1,6,22,30,1,1,1
22,3,2,1,6,277,60,1,1,2
14,3,3,1,6,215,30,1,1,1
43,3,2,2,6,479,70,1,1,1
61,3,1,1,6,734,30,1,1,1
47,3,2,1,6,558,30,4,1,1
1,3,2,1,6,10,30,4,1,1
1,3,1,1,7,1,30,4,8,1
45,3,2,1,7,514,40,1,1,1
13,3,1,1,7,202,30,1,1,1
40,3,2,1,7,421,20,1,1,1
95,3,2,1,7,923,30,1,1,1
1,3,2,1,7,10,30,1,1,1
23,3,1,1,7,293,30,1,1,2
52,3,1,1,7,601,30,6,1,1
40,3,2,1,7,424,60,6,1,2
46,3,1,1,7,532,30,6,1,1
97,3,1,1,7,932,20,4,1,1
97,3,1,1,1,926,30,4,1,1
6,3,1,1,1,112,70,1,1,2
92,1,2,1,1,930,60,1,1,2
36,3,1,1,1,401,60,1,1,2
4,2,1,1,1,76,60,1,1,2
1,3,1,2,1,32,30,1,1,1
53,3,2,1,1,623,30,4,1,1
54,3,1,1,1,635,30,4,1,1
43,3,2,1,2,479,70,1,1,1
47,3,2,3,2,554,60,1,1,2
4,3,2,2,2,74,60,1,1,2
96,3,3,2,2,924,60,1,1,2
61,3,2,1,2,733,70,1,1,2
1,3,1,1,2,27,30,1,1,1
1,3,1,1,2,8,30,1,1,1
35,3,2,1,2,394,30,1,1,1
1,3,1,1,2,25,30,1,1,1
23,3,1,2,2,290,60,6,1,2
1,2,2,1,2,3,20,4,1,1
34,3,2,1,3,384,40,1,1,1
47,3,2,1,3,562,70,1,1,2
5,3,2,2,3,91,30,1,1,1
43,2,2,1,3,475,40,1,1,2
47,3,2,1,3,560,30,1,1,1
17,3,2,1,3,245,30,1,1,1
6,3,3,1,3,102,40,1,1,1
1,3,2,2,3,27,30,1,1,1
45,3,2,1,3,513,30,1,1,1
45,2,1,1,3,512,40,6,1,2
1,3,2,1,3,26,40,4,1,1
44,3,2,2,3,498,70,6,1,1
44,3,2,2,4,498,70,1,1,1
35,3,2,1,4,394,30,1,1,1
46,2,2,1,4,533,30,1,1,2
5,3,2,1,4,91,30,1,1,1
1,3,2,2,4,23,30,1,1,1
31,2,1,1,4,340,30,1,1,1
37,3,1,1,4,416,30,1,1,1
1,3,2,1,4,4,20,1,1,1
22,3,2,2,4,286,60,1,1,1
46,3,3,2,4,532,50,4,1,2
37,3,1,1,4,415,30,4,1,1
44,3,2,1,5,498,40,1,1,1
46,3,2,1,5,539,30,1,1,2
21,3,1,1,5,256,30,1,2,2
17,3,3,2,5,243,30,1,1,1
4,3,2,1,5,82,30,1,2,1
1,3,2,2,5,27,30,1,1,1
46,3,1,1,5,539,30,1,1,1
63,3,3,1,5,751,30,1,2,1
62,2,3,1,5,744,60,1,1,2
1,3,2,1,5,21,30,1,2,1
45,3,2,1,5,514,40,4,2,2
97,3,3,1,5,926,30,4,1,1
1,3,2,1,5,17,30,4,1,1
54,3,1,1,5,635,40,6,2,2
4,2,2,1,5,75,30,4,1,2
1,3,2,1,6,1,30,4,2,1
34,2,2,1,6,386,30,1,1,2
14,3,2,1,6,213,30,1,1,1
10,3,3,3,6,139,60,1,1,2
50,3,1,1,6,596,70,1,1,2
44,2,3,1,6,494,30,1,1,2
23,3,2,1,6,292,30,1,1,1
11,3,2,1,6,169,30,1,1,1
33,3,1,1,6,362,30,1,1,1
63,3,2,1,6,750,60,1,1,2
1,3,2,1,6,17,30,4,1,1
31,3,2,1,6,346,30,4,1,1
1,3,2,1,6,9,30,4,2,1
42,3,2,1,7,456,70,4,1,2
32,3,2,1,7,350,30,1,1,2
47,3,2,1,7,560,50,1,5,1
95,3,2,1,7,940,30,1,5,1
93,3,1,1,7,934,70,1,2,2
55,3,2,1,7,644,60,1,9,2
30,3,1,1,7,323,70,1,5,2
4,2,2,4,7,84,30,4,1,1
7,3,1,1,7,130,70,6,1,2
46,2,1,1,7,535,70,4,2,2
1,3,1,1,1,28,30,4,1,1
32,3,1,1,1,354,40,1,1,2
4,2,1,1,1,73,30,1,8,2
63,3,2,1,1,753,60,1,2,2
20,3,2,1,1,300,70,1,1,1
23,3,1,2,1,292,30,1,1,1
41,3,2,1,1,430,70,1,1,2
1,3,2,1,1,21,30,4,5,1
1,2,1,1,1,26,30,4,5,1
46,3,2,1,2,543,30,1,1,1
35,3,1,1,2,394,30,4,1,1
32,3,2,1,2,351,30,1,5,1
21,3,3,1,2,255,70,1,1,2
4,3,2,2,2,84,30,1,2,2
31,3,2,1,2,341,60,1,1,2
1,3,2,1,2,17,30,1,1,1
1,3,2,1,2,27,30,4,2,1
20,2,2,2,2,309,30,4,1,1
60,3,1,1,2,723,60,6,1,2
55,3,2,2,3,640,30,1,1,1
16,2,2,1,3,228,30,1,1,1
55,2,2,1,3,641,30,1,1,1
50,3,3,4,3,586,60,1,2,2
60,2,2,1,3,722,70,1,8,2
1,3,3,2,3,12,30,1,2,1
97,3,2,1,3,926,30,1,9,1
1,3,2,1,3,27,30,1,1,1
44,3,2,1,3,496,30,4,1,1
44,3,1,1,3,499,70,6,1,2
1,3,1,1,4,32,30,4,1,1
1,3,2,2,4,27,30,1,1,1
31,3,1,1,4,346,30,1,1,1
47,3,2,1,4,564,30,1,1,1
16,3,2,1,4,228,30,1,1,1
93,3,2,1,4,934,70,1,1,2
52,2,3,3,4,612,40,1,2,2
21,3,2,3,4,257,30,1,1,1
20,3,2,1,4,300,30,1,1,1
91,3,3,2,4,927,60,1,2,2
40,3,2,1,4,424,40,1,1,2
7,1,3,1,4,128,30,1,1,1
1,3,2,1,4,4,30,4,1,1
20,2,3,2,4,306,30,4,1,1
1,3,2,1,5,30,30,1,1,1
50,3,2,1,5,587,30,1,1,2
47,3,2,3,5,556,30,1,9,1
17,3,1,1,5,240,30,1,1,1
62,3,2,2,5,741,30,1,1,1
37,3,2,3,5,412,30,1,1,1
41,3,2,2,5,435,40,1,1,1
37,3,1,1,5,413,30,1,1,1
96,3,1,1,5,915,30,1,1,2
17,2,2,1,5,245,40,1,1,2
97,3,1,1,5,935,30,1,1,1
1,3,2,1,5,1,30,4,1,1
43,3,2,2,5,475,50,4,1,2
43,3,1,1,5,485,60,6,1,2
54,3,2,1,6,633,30,1,1,2
47,3,1,1,6,556,30,1,1,1
46,2,1,1,6,536,30,7,9,1
52,3,2,1,6,612,30,1,1,1
4,3,2,2,6,77,30,1,2,1
46,3,2,1,6,544,70,1,1,1
42,3,3,1,6,454,60,1,1,2
97,3,2,1,6,926,30,5,2,2
45,3,2,1,6,513,30,7,1,1
1,3,2,1,6,14,30,1,1,1
1,3,2,1,6,30,40,4,1,1
34,2,1,1,7,380,40,5,1,2
13,2,2,1,7,203,30,1,1,1
32,3,2,2,7,355,60,1,1,2
34,3,3,1,7,385,60,1,1,2
4,3,2,2,7,74,30,1,1,1
95,3,3,3,7,923,30,1,1,1
45,3,1,1,7,513,30,1,1,2
97,3,2,1,7,926,30,1,1,1
52,3,2,1,7,606,30,1,1,1
1,3,2,2,7,7,30,1,2,1
1,3,1,1,7,28,30,4,2,1
54,3,1,1,7,633,50,6,2,2
31,3,2,2,1,347,40,4,2,2
45,3,1,1,1,512,40,1,1,2
43,3,2,1,1,480,30,1,1,1
92,1,2,2,1,911,60,1,2,2
50,3,1,5,1,596,70,1,2,2
31,3,3,2,1,345,70,1,1,2
43,3,2,1,1,475,30,1,1,1
31,3,2,2,1,341,60,1,1,2
41,3,1,1,1,432,30,1,1,1
7,3,1,1,1,130,20,4,2,1
46,2,2,2,2,536,40,6,1,2
50,3,2,1,2,596,60,1,1,2
36,1,4,2,2,400,60,1,1,2
22,3,1,1,2,278,30,1,1,1
1,3,1,1,2,11,30,1,1,1
47,3,2,1,2,555,30,1,1,1
34,3,2,4,2,383,30,1,2,1
32,3,2,1,2,353,70,1,9,2
1,3,2,2,2,30,50,1,1,1
54,3,2,1,2,635,70,1,2,2
1,2,2,1,2,1,30,1,1,1
20,3,2,1,2,300,30,1,1,1
1,3,2,1,2,31,30,4,1,1
1,3,2,1,3,10,30,1,1,1
43,3,2,2,3,475,40,1,1,2
31,3,2,1,3,344,30,1,1,1
37,3,1,1,3,414,30,1,1,1
52,3,1,1,3,601,20,1,1,1
1,3,1,2,3,15,30,1,1,1
1,3,2,4,3,16,30,1,1,1
3,3,2,1,3,64,40,1,1,2
1,3,2,2,3,12,30,1,1,1
62,2,1,1,3,741,30,4,1,1
48,3,1,1,4,570,20,1,1,1
31,3,1,1,4,344,30,1,1,2
11,3,1,1,4,169,30,1,1,2
97,3,2,2,4,913,60,1,2,2
46,3,3,1,4,544,30,1,1,1
5,3,1,1,4,91,30,1,1,1
14,3,1,1,4,215,30,1,1,1
43,3,3,1,4,474,70,1,1,2
5,3,2,2,4,95,30,1,4,1
10,3,2,1,4,146,30,1,1,1
1,3,3,2,4,11,30,1,1,1
7,3,2,1,4,128,30,4,2,1
98,3,2,1,5,917,30,1,1,2
14,3,2,1,5,213,30,1,9,1
1,3,2,1,5,14,30,1,1,1
17,3,2,2,5,245,30,1,1,1
47,3,2,2,5,565,60,1,2,2
20,3,3,2,5,305,40,1,1,1
44,3,2,1,5,492,20,1,2,1
41,3,3,1,5,433,40,1,1,2
4,3,1,1,5,71,30,1,1,1
1,3,1,1,5,1,30,4,1,1
41,3,2,1,5,432,40,4,2,2
10,2,7,6,6,149,70,1,1,2
13,3,3,1,6,206,30,1,1,2
35,3,2,1,6,394,30,1,1,1
61,3,2,1,6,732,30,1,1,2
36,3,2,2,6,405,30,1,1,2
43,3,2,2,6,479,60,1,1,2
47,3,2,2,6,563,60,1,1,2
12,2,2,1,6,185,60,1,1,2
1,3,2,1,6,28,40,1,1,1
23,3,2,3,6,290,30,1,1,1
5,3,2,1,6,95,30,1,1,1
1,3,2,1,6,18,30,4,1,1
34,3,2,1,7,384,30,4,1,1
42,2,2,1,7,454,30,4,1,2
20,3,2,1,7,306,40,1,1,2
13,3,1,1,7,204,60,1,1,1
10,2,1,1,7,139,60,1,1,2
50,3,1,1,7,596,60,1,1,2
41,3,1,1,7,436,30,1,1,2
47,3,2,1,7,552,30,1,1,1
52,3,2,4,7,601,30,1,9,1
1,3,2,1,7,30,30,1,9,1
44,3,1,1,7,500,30,1,1,1
36,3,2,1,7,401,30,4,2,1
41,3,2,2,1,434,30,4,1,1
47,1,1,1,1,565,20,7,1,1
63,3,2,1,1,753,60,1,5,2
41,3,2,1,1,433,30,1,1,1
20,3,2,1,1,307,30,1,1,1
12,3,1,1,1,180,60,1,1,2
1,3,2,1,1,31,30,1,1,1
20,3,1,1,1,302,30,1,1,1
97,3,1,1,1,926,30,1,9,1
13,3,2,1,1,206,30,1,1,1
50,3,2,1,1,596,30,4,1,2
1,3,1,1,1,19,30,4,1,1
55,3,1,1,2,643,30,1,2,1
43,3,2,2,2,474,40,1,1,1
20,3,2,2,2,300,20,1,1,1
36,3,1,1,2,406,60,1,1,2
20,2,2,1,2,300,30,1,1,1
97,3,2,2,2,926,30,1,1,1
53,2,1,3,2,625,60,1,2,2
14,3,2,1,2,215,30,1,1,1
3,3,3,1,2,65,60,1,1,2
13,3,2,1,2,206,30,1,1,1
6,3,2,1,2,114,30,4,2,1
40,2,1,1,3,424,60,6,2,2
35,3,1,1,3,394,30,1,2,1
52,2,2,1,3,601,30,1,1,1
13,3,2,1,3,206,40,1,2,2
43,3,1,1,3,471,30,1,1,2
1,3,1,1,3,10,30,1,1,1
1,3,2,1,3,24,30,1,1,1
14,2,2,2,3,211,60,1,1,2
45,2,1,1,3,513,30,1,1,1
43,3,3,1,3,484,30,1,1,1
1,3,2,1,3,7,30,1,1,1
94,3,2,2,3,925,30,1,1,1
1,3,2,1,3,4,20,4,1,1
97,3,1,1,3,922,30,4,2,1
6,3,2,1,4,100,70,1,7,1
1,3,1,1,4,8,20,1,1,1
12,3,2,1,4,181,30,1,2,2
20,2,2,1,4,300,30,1,1,1
1,3,2,1,4,9,30,1,1,1
97,3,2,3,4,938,60,1,1,2
62,3,1,1,4,745,60,1,1,2
13,1,1,1,4,202,30,1,1,1
52,3,2,1,4,601,20,1,1,1
45,3,2,2,4,511,30,1,1,1
1,3,2,3,4,16,30,7,1,1
43,3,2,1,5,477,30,1,1,1
95,3,1,1,5,923,30,1,1,1
14,3,2,2,5,215,30,1,1,1
40,3,2,1,5,421,30,1,2,1
63,3,2,1,5,751,30,1,2,2
62,3,2,7,5,744,30,1,1,2
1,3,2,1,5,22,30,1,1,1
32,3,1,1,5,356,30,1,1,1
54,3,2,1,5,635,30,1,1,2
13,3,2,1,5,202,60,1,1,2
47,3,2,1,5,552,30,1,1,1
46,3,2,1,5,531,30,1,2,1
60,2,2,1,6,723,30,1,1,1
23,3,2,1,6,293,30,1,2,2
7,3,2,2,6,129,40,1,1,1
44,3,2,1,6,495,30,1,2,1
1,3,2,1,6,21,30,1,1,1
46,3,2,2,6,544,30,1,2,1
44,3,2,1,6,496,30,1,2,2
17,3,2,4,6,241,30,1,2,2
1,3,2,2,6,19,30,1,1,1
11,3,2,1,6,161,30,1,2,1
7,3,4,3,6,124,40,1,1,2
52,3,2,2,6,608,60,1,2,2
1,3,2,1,6,8,30,4,1,1
32,3,1,2,6,351,30,4,2,2
42,2,1,1,7,450,50,4,1,2
21,2,1,1,7,256,60,4,1,2
92,3,2,1,7,911,60,1,1,2
1,3,1,1,7,28,30,1,1,1
62,3,1,1,7,743,30,1,1,1
13,3,2,4,7,204,30,1,1,1
41,3,2,2,7,431,30,1,1,1
31,3,2,1,7,342,40,1,1,1
50,3,2,1,7,596,70,1,1,2
47,2,1,1,7,565,20,1,1,1
14,3,2,1,7,215,40,1,2,1
46,3,2,1,7,541,30,7,1,1
20,3,2,2,1,300,30,4,1,1
35,2,1,1,1,394,60,6,1,2
30,2,2,1,1,325,50,1,1,2
3,3,2,2,1,60,30,1,1,1
1,3,2,3,1,21,30,1,1,1
16,3,2,1,1,232,60,1,1,2
6,2,1,1,1,102,30,1,1,1
53,2,2,3,1,624,40,1,1,1
1,3,2,2,1,27,30,4,1,1
1,3,2,1,2,24,30,1,1,1
35,2,2,2,2,391,60,1,1,2
